	6F0-01-01 	0406 	0700 	0009 
 	740-04-03 	6400 	0800 	06C0 
 	740-04-04 	0000 	0000 	004F 
 	740-04-05 	5A0A 	0100 	00B5 
 	740-04-06 	0101 	0101 	0055 
 	740-04-07 	0300 	0000 	0055 
 	740-04-08 	0000 	0000 	0053 
 	740-04-09 	0000 	54 	 
 	740-05-01 	5F14 	002B 	01EC 
 	740-05-02 	02BC 	0000 	000C 
 	740-05-03 	004F 	 	 
 	740-06-01 	0004 	0000 	0153 
 	740-06-02 	0A00 	0000 	015A 
 	740-06-03 	0100 	0005 	0056 
 	740-06-04 	0101 	0F00 	0163 
 	740-06-05 	0000 	0000 	0052 
 	740-06-06 	0000 	53 	 
 	740-07-01 	3219 	000A 	01A5 
 	740-07-02 	0002 	BC00 	000E 
 	740-07-03 	0051 	 	 
 	740-08-01 	0000 	0000 	0050 
 	740-08-02 	0000 	0000 	0051 
 	740-08-03 	0000 	0000 	0052 
 	740-08-04 	0000 	0000 	0053 
 	740-08-05 	0000 	0000 	0054 
 	740-08-06 	0055 	 	 
 	741-01-01 	FFFF 	FFFF 	FF45 
 	741-01-02 	FFE1 	FFFF 	BFE8 
 	741-01-03 	FFF0 	0000 	3B 
 	741-02-01 	FFFF 	FFFF 	FF46 
 	741-02-02 	FFFC 	3FFF 	C045 
 	741-02-03 	0000 	004D 	 
 	741-03-01 	0027 	107F 	7F81 
 	741-03-02 	3C03 	0080 	808C 
 	741-03-03 	0101 	0501 	0056 
 	741-03-04 	0100 	0101 	0052 
 	741-03-05 	0117 	7001 	F4CD 
 	741-03-06 	3C46 	01F4 	01C9 
 	741-03-07 	F401 	F401 	F430 
 	741-03-08 	01F4 	01F4 	013E 
 	741-03-09 	F401 	F401 	F432 
 	741-03-10 	01F4 	01F4 	0146 
 	741-03-11 	F401 	F401 	F43A 
 	741-03-12 	01F4 	01F4 	0148 
 	741-03-13 	F400 	0000 	0052 
 	741-03-14 	0000 	0000 	005F 
 	741-03-15 	0000 	0000 	0060 
 	741-03-16 	0000 	0000 	0061 
 	741-03-17 	0062 	 	 
 	741-04-01 	0101 	01E6 	194F 
 	741-04-02 	0006 	A402 	BCB6 
 	741-04-03 	6400 	0800 	06C1 
 	741-04-04 	0000 	0000 	0050 
 	741-04-05 	5A0A 	0100 	00B6 
 	741-04-06 	0101 	0101 	0056 
 	741-04-07 	0300 	0000 	0056 
 	741-04-08 	0000 	0000 	0054 
 	741-04-09 	0000 	55 	 
 	741-05-01 	5F14 	002B 	01ED 
 	741-05-02 	02BC 	0000 	000D 
 	741-05-03 	0050 	 	 
 	741-06-01 	0004 	0000 	0154 
 	741-06-02 	0A00 	0000 	015B 
 	741-06-03 	0100 	0005 	0057 
 	741-06-04 	0101 	0F00 	0164 
 	741-06-05 	0000 	0000 	0053 
 	741-06-06 	0000 	54 	 
 	741-07-01 	0000 	000A 	015B 
 	741-07-02 	0002 	BC00 	000F 
 	741-07-03 	0052 	 	 
 	741-08-01 	0000 	0000 	0051 
 	741-08-02 	0000 	0000 	0052 
 	741-08-03 	0000 	0000 	0053 
 	741-08-04 	0000 	0000 	0054 
 	741-08-05 	0000 	0000 	0055 
 	741-08-06 	0056 	 	 
 	744-01-01 	C000 	0160 	006E 
 	744-01-02 	3220 	0BB8 	63 
 	744-02-01 	000A 	C00A 	80A2 
 	744-03-01 	4002 	BC0A 	C017 
 	744-03-02 	0A0A 	C024 	 
 	744-04-01 	0AE0 	0A0A 	E02E 
 	744-04-02 	0A5B 	 	 
 	744-05-01 	000A 	8002 	BC99 
 	744-05-02 	C00A 	C00A 	E6 
 	744-06-01 	0080 	0109 	0AE6 
 	744-06-02 	C00A 	0A80 	A7 
 	744-07-01 	0AC0 	0A80 	A7 
 	744-08-01 	0000 	0000 	0054 
 	744-08-02 	0000 	0000 	0055 
 	744-08-03 	0000 	0056 	 
 	744-09-01 	0000 	0A00 	005F 
 	744-09-02 	0000 	56 	 
 	744-10-01 	000A 	000A 	0070 
 	744-11-01 	1471 	 	 
 	744-12-01 	2D01 	5AE6 	 
 	744-13-01 	7D28 	7D0C 	0390 
 	744-14-01 	1919 	2D2D 	503C 
 	744-14-02 	502F 	2F3C 	3C87 
 	744-14-03 	5050 	02 	 
 	744-15-01 	1919 	2D2D 	4633 
 	744-15-02 	4628 	2535 	325C 
 	744-15-03 	4446 	ED 	 
 	744-16-01 	3232 	3737 	3C70 
 	744-16-02 	3C9F 	 	 
 	744-17-01 	3232 	3737 	3C71 
 	744-17-02 	3CA0 	 	 
 	744-18-01 	0000 	3232 	642C 
 	744-18-02 	64C9 	 	 
 	744-19-01 	4141 	4B4B 	5AD7 
 	744-19-02 	693C 	3C4B 	4BDD 
 	744-19-03 	5F5F 	25 	 
 	744-20-01 	4141 	4B4B 	5ADE 
 	744-20-02 	693C 	3C4B 	4BE4 
 	744-20-03 	5F5F 	2C 	 
 	744-21-01 	0000 	0000 	64D1 
 	744-21-02 	64D2 	 	 
 	744-22-01 	0000 	0000 	006E 
 	744-22-02 	006F 	 	 
 	744-23-01 	0101 	0000 	0071 
 	744-23-02 	0000 	0001 	0071 
 	744-24-01 	0019 	1388 	0B2F 
 	744-24-02 	B864 	8D 	 
 	744-25-01 	0244 	0244 	02FF 
 	744-25-02 	D502 	D51E 	 
 	744-26-01 	3FF8 	00A9 	 
 	744-27-01 	07FF 	FFFF 	FF76 
 	744-27-02 	FFFF 	FFFF 	FF6F 
 	744-27-03 	FFFF 	FF72 	 
 	744-28-01 	FFFF 	FFFF 	FF6F 
 	744-28-02 	FF74 	 	 
 	744-29-01 	0000 	0000 	0075 
 	744-29-02 	0076 	 	 
 	744-30-01 	0002 	5802 	6C44 
 	744-31-01 	0719 	012C 	19E3 
 	744-32-01 	5F5F 	0014 	5AAA 
 	744-32-02 	005A 	5A00 	5A8D 
 	744-32-03 	5A00 	5A5A 	008E 
 	744-32-04 	5ADB 	 	 
 	744-33-01 	0F5A 	5A5B 	6401 
 	744-33-02 	0F0F 	555D 	64B4 
 	744-33-03 	0E0E 	9D 	 
 	744-34-01 	3250 	4B55 	37D9 
 	744-34-02 	5055 	648A 	 
 	744-35-01 	2864 	233C 	2894 
 	744-35-02 	6423 	3C45 	 
 	744-36-01 	4B64 	4B64 	5A3A 
 	744-36-02 	465A 	465A 	5013 
 	744-36-03 	6450 	015E 	0097 
 	744-36-04 	1401 	5E00 	140C 
 	744-36-05 	3C28 	015E 	0049 
 	744-36-06 	143C 	2801 	5E5E 
 	744-36-07 	0014 	9C 	 
 	744-37-01 	5546 	5546 	641D 
 	744-37-02 	1E64 	1E01 	5E83 
 	744-37-03 	0014 	015E 	00F8 
 	744-37-04 	1450 	6455 	6407 
 	744-37-05 	3C46 	4B64 	4B03 
 	744-37-06 	6455 	6401 	5E04 
 	744-37-07 	0014 	015E 	00FC 
 	744-37-08 	149E 	 	 
 	744-38-01 	0850 	505A 	088E 
 	744-38-02 	5050 	5A7F 	 
 	744-39-01 	012C 	3C64 	4698 
 	744-39-02 	0064 	4600 	6494 
 	744-40-01 	0A46 	5A5A 	0090 
 	744-40-02 	7801 	5E00 	1478 
 	744-40-03 	5A00 	7801 	5EBF 
 	744-40-04 	0014 	A3 	 
 	744-41-01 	0000 	0000 	008D 
 	744-41-02 	0000 	07D0 	0065 
 	744-41-03 	0000 	0000 	008F 
 	744-41-04 	0000 	0000 	0090 
 	744-41-05 	0000 	0000 	0091 
 	744-41-06 	0000 	0005 	0097 
 	744-41-07 	0A9D 	 	 
 	744-42-01 	0101 	9020 	 
 	744-43-01 	2D64 	4155 	2DE3 
 	744-43-02 	6441 	558A 	 
 	744-44-01 	4164 	1E3C 	4BDA 
 	744-44-02 	641E 	3C4F 	 
 	744-45-01 	3728 	3728 	55A4 
 	744-45-02 	4655 	4650 	5013 
 	744-45-03 	5050 	015E 	0092 
 	744-45-04 	1401 	5E00 	141B 
 	744-45-05 	3C28 	015E 	0058 
 	744-45-06 	143C 	2801 	5E6D 
 	744-45-07 	0014 	AB 	 
 	744-46-01 	5550 	555A 	1E04 
 	744-46-02 	641E 	6401 	5ED8 
 	744-46-03 	0014 	015E 	0007 
 	744-46-04 	1450 	6455 	6416 
 	744-46-05 	3C46 	4B64 	460D 
 	744-46-06 	6446 	6401 	5E04 
 	744-46-07 	0014 	015E 	000B 
 	744-46-08 	14AD 	 	 
 	751-01-01 	01FF 	80DA 	 
 	754-01-01 	3002 	0000 	008F 
 	754-02-01 	1D00 	0000 	108B 
 	754-02-02 	0000 	005F 	 
 	754-03-01 	0A00 	F541 	0CAB 
 	754-03-02 	CD52 	3C5E 	2D46 
 	754-03-03 	005A 	000F 	05CF 
 	754-03-04 	0960 	5050 	006B 
 	754-03-05 	1000 	2A88 	7DA2 
 	754-03-06 	03C3 	0FFC 	A0D5 
 	754-03-07 	1C40 	4405 	 
 	754-04-01 	0064 	9601 	2C87 
 	754-04-02 	0064 	0258 	0A29 
 	754-04-03 	0078 	0005 	0AE9 
 	754-04-04 	003C 	003C 	00DB 
 	754-04-05 	140C 	84 	 
 	754-05-01 	696E 	7465 	7283 
 	754-05-02 	6E65 	742E 	350C 
 	754-05-03 	672E 	6174 	7441 
 	754-05-04 	2E6E 	612E 	66F5 
 	754-05-05 	6F72 	6400 	00AA 
 	754-05-06 	0000 	0000 	0066 
 	754-05-07 	0000 	0000 	0067 
 	754-05-08 	0000 	0000 	0068 
 	754-06-01 	3030 	3030 	3052 
 	754-06-02 	3030 	3030 	3053 
 	754-06-03 	3030 	3030 	3054 
 	754-06-04 	3030 	3030 	3055 
 	754-06-05 	3030 	3030 	3056 
 	754-06-06 	3030 	3030 	3057 
 	754-06-07 	3030 	3030 	3058 
 	754-06-08 	3030 	3030 	3059 
 	754-07-01 	0203 	596F 	30 
 	754-08-01 	1D00 	596F 	49 
 	754-09-01 	0000 	0000 	0065 
 	754-09-02 	0000 	0000 	0066 
 	754-09-03 	0000 	0000 	0067 
 	754-09-04 	0000 	0000 	0068 
 	754-10-01 	5553 	14 	 
 	754-11-01 	AA17 	 	 
 	754-12-01 	006E 	 	 
 	754-13-01 	0001 	0205 	0279 
 	754-13-02 	0202 	0502 	027D 
 	754-13-03 	0205 	0001 	027B 
 	754-13-04 	0503 	0303 	0A8A 
 	754-13-05 	0303 	030A 	0086 
 	754-13-06 	0203 	0A04 	048B 
 	754-13-07 	040F 	0404 	0494 
 	754-13-08 	0F85 	 	 
 	754-14-01 	4B4B 	4B4B 	4BE7 
 	754-14-02 	4B4B 	4B4B 	4BE8 
 	754-14-03 	4B4B 	4B4B 	4BE9 
 	754-14-04 	4B4B 	4B4B 	4BEA 
 	754-14-05 	4B4B 	4B4B 	46E6 
 	754-14-06 	413C 	3C46 	41B5 
 	754-14-07 	3C32 	4641 	3CA7 
 	754-14-08 	32A9 	 	 
 	754-15-01 	4445 	3031 	015C 
 	754-15-02 	0708 	81 	 
 	754-16-01 	03C3 	0FA0 	E7 
 	754-17-01 	0000 	0000 	0073 
 	754-17-02 	0000 	0000 	0074 
 	754-17-03 	0000 	75 	 
 	754-18-01 	0384 	0000 	0A05 
 	754-18-02 	7FF4 	 	 
 	754-19-01 	13FB 	27FD 	00A7 
 	754-19-02 	0076 	 	 
 	754-20-01 	626F 	6F74 	73A3 
 	754-20-02 	7472 	6170 	2E62 
 	754-20-03 	7362 	312E 	6113 
 	754-20-04 	7574 	6F6E 	6FB4 
 	754-20-05 	6D69 	632E 	6148 
 	754-20-06 	693A 	3830 	39C5 
 	754-20-07 	3000 	0000 	00B2 
 	754-20-08 	0000 	0000 	0083 
 	760-01-01 	3146 	5438 	57C3 
 	760-01-02 	3242 	4E39 	52B7 
 	760-01-03 	4544 	3332 	338C 
 	760-01-04 	3436 	D6 	 
 	760-02-01 	3120 	1025 	2212 
 	760-02-02 	2100 	0000 	008C 
 	760-03-01 	2CF8 	9481 	42E6 
 	760-03-02 	C310 	3F 	 
 	760-04-01 	0000 	0102 	0170 
 	760-04-02 	0100 	0100 	006F 
 	760-04-03 	0000 	2002 	69F9 
 	760-04-04 	0000 	0000 	006F 
 	760-04-05 	0001 	0000 	0172 
 	760-04-06 	0100 	0000 	0072 
 	760-04-07 	0072 	 	 
 	764-01-01 	3146 	5438 	57C7 
 	764-01-02 	3242 	4E39 	52BB 
 	764-01-03 	4544 	3332 	3390 
 	764-01-04 	3436 	DA 	 
 	783-01-01 	E009 	80F5 	 
 	783-02-01 	109D 	 	 
 	783-03-01 	0997 	 	 
 	791-01-01 	0100 	0101 	11AE 
 	791-01-02 	1011 	7733 	 
 	791-02-01 	0A57 	5D7F 	00D8 
 	791-02-02 	7FD5 	5555 	55EF 
 	791-02-03 	5DFA 	 	 
 	791-03-01 	870D 	0001 	0132 
 	791-03-02 	0066 	03 	 
 	791-04-01 	3E02 	0A07 	1402 
 	791-04-02 	0005 	0002 	00A5 
 	791-04-03 	0A00 	0254 	605F 
 	7B2-01-01 	21C7 	2DB0 	55D5 
 	7B2-01-02 	5300 	0312 	 
 	7B2-02-01 	8D0D 	AC42 	0145 
 	7B2-02-02 	0054 	4859 	 
 	7B2-03-01 	0135 	000B 	5452 
 	7B2-03-02 	0000 	00BE 	 
 	7C4-01-01 	3146 	5438 	5727 
 	7C4-01-02 	3242 	4E39 	521B 
 	7C4-01-03 	4544 	3332 	33F0 
 	7C4-01-04 	3436 	3A 	 
 	7C6-01-01 	3146 	5438 	5729 
 	7C6-01-02 	3242 	4E39 	521D 
 	7C6-01-03 	4544 	3332 	33F2 
 	7C6-01-04 	3436 	3C 	 
 	7D0-01-01 	A081 	2802 	FD21 
 	7D0-01-02 	A303 	C62B 	B92A 
 	7D0-01-03 	500E 	27F7 	2F86 
 	7D0-01-04 	1BCC 	FD20 	6141 
 	7D0-02-01 	8414 	420A 	00BE 
 	7D0-02-02 	4210 	00DC 	040D 
 	7D0-02-03 	A841 	1801 	E7C5 
 	7D0-03-01 	5553 	0203 	038B 
 	7D0-03-02 	2200 	320F 	0140 
 	7D0-03-03 	0000 	0020 	00FD 
 	7D0-04-01 	0524 	0000 	0005 
 	7D0-05-01 	2286 	0400 	0089 
 	7D0-05-02 	0003 	00F8 	0CE5 
 	7D0-05-03 	4E16 	0000 	0043 
 	7D0-06-01 	1AAE 	1A40 	3E3E 
 	7D0-06-02 	805F 	 	 
 	7D0-07-01 	2F00 	3300 	0041 
 	7D0-07-02 	0000 	0000 	7555 
 	7D0-07-03 	3056 	56B2 	006F 
 	7D0-07-04 	CFB1 	 	 
 	7D0-08-01 	C040 	0002 	00E2 
 	7D0-08-02 	0000 	0000 	00E1 
 	7D0-09-01 	6317 	CAAC 	FECF 
 	7D0-09-02 	C06E 	7700 	1DA4 
 	7D0-09-03 	0040 	0004 	072E 
 	7D0-09-04 	9240 	0250 	E0E8 
 	7D0-09-05 	0015 	0120 	203B 
 	7D0-10-01 	0000 	0000 	00E8 
 	7D0-10-02 	0000 	0000 	00E9 
 	7D0-10-03 	3000 	1000 	0832 
 	7D0-10-04 	000C 	0000 	4138 
 	7D0-10-05 	23E2 	C0E2 	C053 
 	7E0-162-01 	009F 	0082 	004E 
 	7E0-162-02 	1000 	FE00 	002D 
 	7E0-162-03 	0001 	000B 	010D 
 	7E0-162-04 	0000 	0000 	005D 
 	7E0-162-05 	0000 	0000 	006D 
 	7E0-162-06 	0000 	0000 	007D 
 	7E0-162-07 	0000 	8D 	 
 	7E0-163-01 	4101 	01AF 	006B 
 	7E0-163-02 	1112 	6EAA 	DD1C 
 	7E0-163-03 	0000 	000C 	031D 
 	7E0-163-04 	0225 	0111 	0200 
 	7E0-163-05 	0800 	0000 	00FD 
 	7E0-163-06 	0000 	0000 	008D 
 	7E0-163-07 	0000 	9D 	 
 	7E0-165-01 	FD06 	0B0E 	0E2C 
 	7E0-165-02 	0804 	0615 	11DF 
 	7E0-165-03 	FE0C 	1215 	149F 
 	7E0-165-04 	0D06 	0819 	18CF 
 	7E0-165-05 	EFF9 	FF01 	0049 
 	7E0-165-06 	F8F2 	F200 	069A 
 	7E0-165-07 	E9F2 	F5F6 	F467 
 	7E0-165-08 	EFEE 	F207 	1859 
 	7E0-165-09 	E9F2 	F5F6 	F487 
 	7E0-165-10 	EFEE 	F207 	18DA 
 	7E0-165-11 	F602 	080A 	0A0D 
 	7E0-165-12 	02FF 	0110 	119F 
 	7E0-165-13 	F602 	080A 	0A2D 
 	7E0-165-14 	02FF 	0110 	11BF 
 	7E0-165-15 	F702 	0709 	093D 
 	7E0-165-16 	01FB 	FD0C 	111D 
 	7E0-165-17 	D0D5 	D9DD 	DCAF 
 	7E0-165-18 	DBDA 	DADA 	E0A0 
 	7E0-165-19 	FBFC 	FBFA 	F9E9 
 	7E0-165-20 	FBFD 	0E1B 	3F81 
 	7E0-165-21 	FFFF 	FFFF 	FF6A 
 	7E0-165-22 	FFFF 	FFFF 	FF7A 
 	7E0-165-23 	3344 	3450 	FF4D 
 	7E0-165-24 	FFFF 	FFFF 	FF9A 
 	7E0-165-25 	FFEB 	FFFF 	FF69 
 	7E0-165-26 	FFFF 	FFFF 	FFBA 
 	7E0-165-27 	FFFF 	FFFF 	FFCA 
 	7E0-165-28 	0E6F 	85FF 	FF0B 
 	7E0-165-29 	7588 	37FF 	FF3F 
 	7E0-165-30 	6798 	66FF 	FFC3 
 	7E0-165-31 	5043 	3350 	20D3 
 	7E0-165-32 	3730 	3030 	20EE 
 	7E0-165-33 	4841 	2020 	201E 
 	7E0-165-34 	2020 	5443 	3010 
 	7E0-165-35 	3241 	3234 	3040 
 	7E0-165-36 	3532 	3332 	307F 
 	7E0-165-37 	3635 	3620 	20DD 
 	7E0-165-38 	2020 	2020 	32DB 
 	7E0-165-39 	3430 	3532 	43A0 
 	7E0-165-40 	3036 	3031 	FFDC 
 	7E0-165-41 	FFFF 	2401 	6EB7 
 	7E0-165-42 	E7DE 	290C 	012E 
 	7E0-165-43 	0303 	0054 	432A 
 	7E0-165-44 	3032 	4132 	34F1 
 	7E0-165-45 	3035 	3231 	3230 
 	7E0-165-46 	3036 	3031 	5032 
 	7E0-165-47 	4333 	5020 	3732 
 	7E0-165-48 	4131 	3030 	2000 
 	7E0-165-49 	4141 	2020 	5012 
 	7E0-165-50 	4333 	5041 	41D6 
 	7E0-165-51 	50FF 	FFFF 	E272 
 	7E0-165-52 	B07D 
